id,"Длина стандартной трубы, м ",caption,"Общая длина (с раструбом), м ",Внутренняя поверхность трубы ,Цвет трубы снаружи ,title,"Внутренний диаметр, мм ",Основной вид соединения ,"Кольцевая жесткость, кН/м2 ",Материал ,Структура трубы ,"Наружный диаметр, мм ",Страна изготовитель ,"Номинальное рабочее давление PN, бар ",Тип номинального диаметра DN ,price,url,"Номинальный диаметр DN (Дн, D, d), мм ",Наличие резинового уплотнителя ,currency,Цвет трубы внутри ,Наружная поверхность трубы ,Возможность поставки в бухтах ,SDR ,ТУ ,Усилие протяжки ,Наличие раструба ,Международный стандарт ,Назначение ,"Кольцевая жесткость SN (класс кольцевой жесткости),  кН/м2 ",Основная единица измерения ,Наличие удаляемого защитного покрытия из полипропилена ,"Толщина стенки e, мм ",Другие виды соединения ,ГОСТ ,"Вес погонного метра, кг "
0cd2994f-a80a-41ae-b826-6b87cefe4933,13,Труба ПЭ (ПНД) SDR 11 тип Т Ø 20х2 мм техническая изготавливается из вторичного обработанного сырья. Эти трубы нельзя применять для напорного водопровода и канализации. Труба ПЭ (ПНД) SDR 11 тип Т Ø 20х2 мм техническая используется как защитный футляр для кабеля.,NaN,NaN,черный,Труба ПЭ (ПНД) SDR 11 тип Т Ø 20х2 мм техническая,16,сварка нагретым инструментом встык,NaN,полиэтилен (ПЭ / ПНД),однослойная,NaN,Россия,NaN,NaN,19,https://nf-truba.ru/catalog/product/truba-pe-pnd-sdr-11-tip-t-20x2-mm-tehnicheskaya/,20,NaN,rub,черный,NaN,NaN,11,NaN,NaN,без раструба,NaN,"для кабельных сетей, безнапорная канализация",NaN,м.п.,отсутствует,2,электромуфтовая сварка,NaN,"0,117"
f0093314-b671-45b0-90b2-c6079e5fee69,13,Труба (ПНД) ПЭ 100 SDR 11 Ø 20х2 мм питьевая ГОСТ 18599 изготавливается из полиэтилена и предназначена для подземных сетей напорного водоснабжения. Соответствуют требованиям ГОСТ 18599-2001. Трубы выпускаются в отрезках по 13 м. Трубы малого (до 110 мм включительно) диаметра могут выпускаться в бухтах. Труба (ПНД) ПЭ 100 SDR 11 Ø 20х2 мм питьевая ГОСТ 18599 разрешена к применению АО «Мосводоканал» и ГУП «Водоканал Санкт-Петербурга».,NaN,NaN,"черный, черный с синими полосами",Труба (ПНД) ПЭ 100 SDR 11 Ø 20х2 мм питьевая ГОСТ 18599,"16,4",сварка нагретым инструментом встык,NaN,полиэтилен (ПЭ / ПНД) класса ПЭ 100,"монолитная, однослойная",NaN,Россия,16,NaN,29,https://nf-truba.ru/catalog/product/truba-napornaya-pe100-d-20-sdr11-pn-16-2/,20,NaN,rub,NaN,NaN,нет,11,NaN,NaN,без раструба,NaN,для питьевого водоснабжения,NaN,м.п.,без защитного покрытия,"1,8","электромуфтовая сварка, фланцевое соединение",ГОСТ 18599-2001,"0,117"
6b2c2f19-2db6-41aa-a209-71dd10c1cff1,13,"Труба ПЭ (ПНД) SDR 11 тип Т Ø 25х2,3 мм техническая изготавливается из вторичного обработанного сырья. Эти трубы нельзя применять для напорного водопровода и канализации. Труба ПЭ (ПНД) SDR 11 тип Т Ø 25х2,3 мм техническая используется как защитный футляр для кабеля.",NaN,NaN,черный,"Труба ПЭ (ПНД) SDR 11 тип Т Ø 25х2,3 мм техническая","20,4",сварка нагретым инструментом встык,NaN,полиэтилен (ПЭ / ПНД),однослойная,NaN,Россия,NaN,NaN,27,https://nf-truba.ru/catalog/product/truba-pe-pnd-sdr-11-tip-t-25x2-3-mm-tehnicheskaya/,25,NaN,rub,черный,NaN,NaN,11,NaN,NaN,без раструба,NaN,"для кабельных сетей, безнапорная канализация",NaN,м.п.,отсутствует,"2,3",электромуфтовая сварка,NaN,"0,171"
77fa4238-60cf-4066-a54b-ce9a244ee3ae,13,"Труба (ПНД) ПЭ 100 SDR 11 Ø 25х2,3 мм питьевая ГОСТ 18599 изготавливается из полиэтилена и предназначена для подземных сетей напорного водоснабжения. Соответствуют требованиям ГОСТ 18599-2001. Трубы выпускаются в отрезках по 13 м. Трубы малого (до 110 мм включительно) диаметра могут выпускаться в бухтах. Труба (ПНД) ПЭ 100 SDR 11 Ø 25х2,3 мм питьевая ГОСТ 18599 разрешена к применению АО «Мосводоканал» и ГУП «Водоканал Санкт-Петербурга».",NaN,NaN,"черный, черный с синими полосами","Труба (ПНД) ПЭ 100 SDR 11 Ø 25х2,3 мм питьевая ГОСТ 18599","20,5",сварка нагретым инструментом встык,NaN,полиэтилен (ПЭ / ПНД) класса ПЭ 100,"монолитная, однослойная",NaN,Россия,16,NaN,43,https://nf-truba.ru/catalog/product/truba-napornaya-pe100-d-25-sdr11-pn-16-2/,25,NaN,rub,NaN,NaN,нет,11,NaN,NaN,без раструба,NaN,для питьевого водоснабжения,NaN,м.п.,без защитного покрытия,"2,3","электромуфтовая сварка, фланцевое соединение",ГОСТ 18599-2001,"0,171"
37a58897-d910-49b3-886a-5bc0e29b0e08,13,"Труба ПЭ (ПНД) SDR 13,6 тип СТ Ø 32х2,4 мм техническая изготавливается из вторичного обработанного сырья. Эти трубы нельзя применять для напорного водопровода и канализации. Труба ПЭ (ПНД) SDR 13,6 тип СТ Ø 32х2,4 мм техническая используется как защитный футляр для кабеля.",NaN,NaN,черный,"Труба ПЭ (ПНД) SDR 13,6 тип СТ Ø 32х2,4 мм техническая","27,2",сварка нагретым инструментом встык,NaN,полиэтилен (ПЭ / ПНД),однослойная,NaN,Россия,NaN,NaN,36,https://nf-truba.ru/catalog/product/truba-pe-pnd-sdr-13-6-tip-st-32x2-4-mm-tehnicheskaya/,32,NaN,rub,черный,NaN,NaN,"13,6",NaN,NaN,без раструба,NaN,"для кабельных сетей, безнапорная канализация",NaN,м.п.,отсутствует,"2,4",электромуфтовая сварка,NaN,"0,23"
02b60d87-7e9f-4c4a-a938-9aeedf3c16a3,13,Труба ПЭ (ПНД) SDR 11 тип Т Ø 32х3 мм техническая изготавливается из вторичного обработанного сырья. Эти трубы нельзя применять для напорного водопровода и канализации. Труба ПЭ (ПНД) SDR 11 тип Т Ø 32х3 мм техническая используется как защитный футляр для кабеля.,NaN,NaN,черный,Труба ПЭ (ПНД) SDR 11 тип Т Ø 32х3 мм техническая,26,сварка нагретым инструментом встык,NaN,полиэтилен (ПЭ / ПНД),однослойная,NaN,Россия,NaN,NaN,44,https://nf-truba.ru/catalog/product/truba-pe-pnd-sdr-11-tip-t-32x3-mm-tehnicheskaya/,32,NaN,rub,черный,NaN,NaN,11,NaN,NaN,без раструба,NaN,"для кабельных сетей, безнапорная канализация",NaN,м.п.,отсутствует,3,электромуфтовая сварка,NaN,"0,28"
101c01dd-fd4a-46ef-b79c-aceacacc70fc,13,Труба (ПНД) ПЭ 100 SDR 17 Ø 32х2 мм питьевая ГОСТ 18599 изготавливается из полиэтилена и предназначена для подземных сетей напорного водоснабжения. Соответствуют требованиям ГОСТ 18599-2001. Трубы выпускаются в отрезках по 13 м. Трубы малого (до 110 мм включительно) диаметра могут выпускаться в бухтах. Труба (ПНД) ПЭ 100 SDR 17 Ø 32х2 мм питьевая ГОСТ 18599 разрешена к применению АО «Мосводоканал» и ГУП «Водоканал Санкт-Петербурга».,NaN,NaN,"черный, черный с синими полосами",Труба (ПНД) ПЭ 100 SDR 17 Ø 32х2 мм питьевая ГОСТ 18599,"28,2",сварка нагретым инструментом встык,NaN,полиэтилен (ПЭ / ПНД) класса ПЭ 100,"монолитная, однослойная",NaN,Россия,10,NaN,49,https://nf-truba.ru/catalog/product/truba-dlya-vodosnabzheniya-o-32-mm-sdr-17-gost-18599-pe-100/,32,NaN,rub,NaN,NaN,нет,17,NaN,NaN,без раструба,NaN,для питьевого водоснабжения,NaN,м.п.,без защитного покрытия,"1,9","электромуфтовая сварка, фланцевое соединение",ГОСТ 18599-2001,"0,19"
b9fd419e-1da0-4b48-9f0c-540357377eb8,13,"Труба (ПНД) ПЭ 100 SDR 13,6 Ø 32х2,4 мм питьевая ГОСТ 18599 изготавливается из полиэтилена и предназначена для подземных сетей напорного водоснабжения. Соответствуют требованиям ГОСТ 18599-2001. Трубы выпускаются в отрезках по 13 м. Трубы малого (до 110 мм включительно) диаметра могут выпускаться в бухтах. Труба (ПНД) ПЭ 100 SDR 13,6 Ø 32х2,4 мм питьевая ГОСТ 18599 разрешена к применению АО «Мосводоканал» и ГУП «Водоканал Санкт-Петербурга».",NaN,NaN,"черный, черный с синими полосами","Труба (ПНД) ПЭ 100 SDR 13,6 Ø 32х2,4 мм питьевая ГОСТ 18599","27,3",сварка нагретым инструментом встык,NaN,полиэтилен (ПЭ / ПНД) класса ПЭ 100,"монолитная, однослойная",NaN,Россия,"12,5",NaN,58,https://nf-truba.ru/catalog/product/truba-napornaya-pe100-d-32-sdr13-6-pn-12-5-2/,32,NaN,rub,NaN,NaN,нет,"13,6",NaN,NaN,без раструба,NaN,для питьевого водоснабжения,NaN,м.п.,без защитного покрытия,"2,4","электромуфтовая сварка, фланцевое соединение",ГОСТ 18599-2001,"0,23"
14afd75a-2275-476b-a4c6-abc5e6ced1d4,13,Труба (ПНД) ПЭ 100 SDR 11 Ø 32х3 мм питьевая ГОСТ 18599 изготавливается из полиэтилена и предназначена для подземных сетей напорного водоснабжения. Соответствуют требованиям ГОСТ 18599-2001. Трубы выпускаются в отрезках по 13 м. Трубы малого (до 110 мм включительно) диаметра могут выпускаться в бухтах. Труба (ПНД) ПЭ 100 SDR 11 Ø 32х3 мм питьевая ГОСТ 18599 разрешена к применению АО «Мосводоканал» и ГУП «Водоканал Санкт-Петербурга».,NaN,NaN,"черный, черный с синими полосами",Труба (ПНД) ПЭ 100 SDR 11 Ø 32х3 мм питьевая ГОСТ 18599,"26,2",сварка нагретым инструментом встык,NaN,полиэтилен (ПЭ / ПНД) класса ПЭ 100,"монолитная, однослойная",NaN,Россия,16,NaN,71,https://nf-truba.ru/catalog/product/truba-napornaya-pe100-d-32-sdr11-pn-16-2/,32,NaN,rub,NaN,NaN,нет,11,NaN,NaN,без раструба,NaN,для питьевого водоснабжения,NaN,м.п.,без защитного покрытия,"2,9","электромуфтовая сварка, фланцевое соединение",ГОСТ 18599-2001,"0,28"
f11c04dc-7330-4d3f-a713-68b22e041ec0,13,"Труба ПЭ (ПНД) SDR 17 тип С+ Ø 40х2,4 мм техническая изготавливается из вторичного обработанного сырья. Эти трубы нельзя применять для напорного водопровода и канализации. Труба ПЭ (ПНД) SDR 17 тип С+ Ø 40х2,4 мм техническая используется как защитный футляр для кабеля.",NaN,NaN,черный,"Труба ПЭ (ПНД) SDR 17 тип С+ Ø 40х2,4 мм техническая","35,2",сварка нагретым инструментом встык,NaN,полиэтилен (ПЭ / ПНД),однослойная,NaN,Россия,NaN,NaN,40,https://nf-truba.ru/catalog/product/truba-pe-pnd-sdr-17-tip-s-40x2-4-mm-tehnicheskaya/,40,NaN,rub,черный,NaN,NaN,17,NaN,NaN,без раструба,NaN,"для кабельных сетей, безнапорная канализация",NaN,м.п.,отсутствует,"2,4",электромуфтовая сварка,NaN,"0,29"
